Ticker,Stock Parameter
PHN,POLSKI-HOLDING-NIERUCHOMOSCI
PHR (PHARMENA),PHARMENA
PIT (POLARISIT),PIT
PIX (PIXELCROW),PIX
PJP (PJPMAKRUM),PROJPRZEM
PKN (PKNORLEN),ORLEN
PKO (PKOBP),PKO
PKP (PKPCARGO),PKPCARGO
PLG (PLGROUP),PLG
PLI (PLATIGE),PLATIGE-IMAGE
PLM (POLMAN),POLMAN
PLW (PLAYWAY),PLAYWAY
PLZ (PLAZACNTR),PLAZACNTR
PMA (PRIMAMODA),PRIMA-MODA
PMG (PGMSA),PMG
PMP (PAMAPOL),PAMAPOL
PNT (POINTPACK),PNT
PNW (PLANTWEAR),PNW
PPG (PUNCHPUNK),PPG
PPS (PEPEES),PEPEES
PRI (PRAGMAINK),PRI
PRM (PROCHEM),PROCHEM
PRN (PARTNER),PARTNER-NIERUCHOMOSCI
PRO (PROMISE),APN-PROMISE
PRS (PRYMUS),PRYMUS
PRT (PROTEKTOR),PROTEKTOR
PSH (POLYSLASH),PSH
PSHE (PORSCHE),PSHE
PSM (PLASMA),PLASMA-SYSTEM
PTE (PARCELTEC),PTE
PTG (POLTREG),PTG
PTH (PRIMETECH),PRIMETECH
PTN (POLTRONIC),POLTRONIC
PTW (PTWP),PTWP
PUR (PURE),PUR
PWX (POLWAX),POLWAX
PXM (POLIMEXMS),POLIMEX
PZU,PZU
QNT (QUANTUM),QUANTUM-SOFTWARE
QON (QUARTICON),QON
QRS (QUERCUS),QUERCUS
QRT (QUART),QUART-DEVELOPMENT
QUB (QUBICGMS),QUBICGMS
RAE (RAEN),RAE
RAF (RAFAMET),RAFAMET
RBS (ROBINSON),ROBINSON-EUROPE
RBW (RAINBOW),RAINBOW-TOURS
RCA (ROCCA),ROCCA
RCM (REDCARPET),RCM
RCW (RUCHCHORZ),RUCH-CHORZOW
RDG (READGENE),READ-GENE
RDN (REDAN),REDAN
RDS (REDDEV),RDS
REG (REGNON),REGNON
REM (REMEDIS),REMEDIS
RES (RESBUD),RES
RFK (RAFAKO),RAFAKO
RGL (ROBSGROUP),ROBSGROUP
RHD (REINHOLD),REINHOLD
RLP (RELPOL),RELPOL
RMK (REMAK),REMAK
RNC (REINO),RNC
RND (RENDER),RND
RNK (RANKPROGR),RANK-PROGRESS
ROV (ROVITA),ROVITA-SPOLKA
RPC (ROPCZYCE),ROPCZYCE
RRH (ROOFRENOV),RRH
RSP (REMORSOL),RSP
RST (ROAD),RST
RVU (RYVU),RVU
RWE,RWE
RWL (RAWLPLUG),RAWLPLUG
S4E,S4E
SAN (SANTANDER),SANTANDER
SAP,SAP
SBE (SOFTBLUE),SOFTBLUE
SCP (SCPFL),SCP
SCS (STEMCELLS),STEM-CELLS-SPIN
SDG (SUNDRAGON),SDG
SDS (SDSOPTIC),SDS
SED (SEDIVIO),SED
SEK (SEKO),SEKO
SEL (SELENAFM),SELENA-FM
SEN (SERINUS),SEN
SES (SESCOM),SESCOM
SEV (SEVENET),SEVENET
SFD,SFD
SFG (SILVANO),AS-SILVANO-FASHION
SFK (SFKPOLKAP),POLKAP
SFN (SFERANET),SFERANET
SFS (SFINKS),SFINKS
SGN (SYGNITY),SYGNITY
SGR (SADOVAYA),SADOVAYA
SHD (SOHODEV),SOHO-DEVELOPMENT
SHG (STARHEDGE),STARHEDGE
SHO (SHOPER),SHO
SHY (SHEEPYARD),SHY
SIE (SIEMENS),SIE
SIM (SIMFABRIC),SIM
SIN (SOLARINOV),SIN
SKA (SNIEZKA),SNIEZKA
SKH (SKARBIEC),SKARBIEC-HOLDING
SKL (SKYLINE),SKYLINE-INVESTMENT
SKN (SAKANA),SAKANA
SLT (SAULETECH),SLT
SLV (SELVITA),SLV
SLZ (SLEEPZAG),SLZ
SMT (SIMTERACT),SMT
SNG (SYNERGA),SNG
SNK (SANOK),STOMIL-SANOK
SNT (SYNEKTIK),SYNEKTIK
SNW (SANWIL),SANWIL-HOLDING
SNX (SUNEX),SUNEX
SOK (SONKA),SOK
SOL (SOLAR),SOLAR-COMPANY
SON (SONEL),SONEL
SPH (SOPHARMA),SOPHARMA
SPK (SPARKVC),SPARKVC
SPL (SANPL),SPL
SPR (SPYROSOFT),SPR
STA (STARWARD),STA
